@id,@type,name,@lat,@lon
731789000,node,セブン-イレブン,35.7194136,139.8648871
736493983,node,ミニストップ,35.6880813,139.6175484
739474112,node,ローソン,35.5563077,139.5806790
739485743,node,ローソン,35.5519710,139.6161797
742561064,node,ミニストップ,35.6542915,139.7029891
744740386,node,,35.7524802,139.7120019
745684629,node,ファミリーマート,35.6430035,139.7493196
746287310,node,ミニストップ,35.8197314,139.9435714
746298033,node,NewDays,35.8449055,139.8855619
746298039,node,ファミリーマート,35.8453211,139.8862755
747847649,node,ファミリーマート,35.8553135,139.8872521
748883680,node,ファミリーマート,35.6485205,139.7082566
750873881,node,ローソン,35.6435974,139.7493157
750873924,node,ローソン,35.6471334,139.7469118
750873947,node,ローソン,35.6433173,139.7491427
752870658,node,ファミリーマート,35.6568956,139.7011298
755794830,node,ファミリーマート,35.8118028,139.9402538
755833205,node,セブン-イレブン,35.5772721,139.6336242
757604366,node,ミニストップ,35.8089684,139.8996122
758678639,node,セブン-イレブン,35.5834002,139.6556787
758678651,node,ローソン,35.5828022,139.6572292
758963141,node,セブン-イレブン,35.7097008,139.8628318
759232123,node,ファミリーマート,35.6487473,139.6081830
762817889,node,セブン-イレブン,35.5856105,139.6344894
762817892,node,セブン-イレブン,35.5904540,139.6344371
764104051,node,ファミリーマート,35.5868700,139.6615840
765755861,node,ミニストップ,35.7119180,139.8709456
767264931,node,セブン-イレブン,35.6570431,139.6991192
769847178,node,セブン-イレブン 三郷彦成５丁目店,35.8555717,139.8735036
769849533,node,ファミリーマート,35.6673181,139.6412946
771572941,node,セブン-イレブン,35.5781227,139.6652140
775956761,node,セブン-イレブン,35.5689607,139.6368463
789915057,node,ファミリーマート,35.7534922,139.6233800
789993446,node,セブン-イレブン,35.7594059,139.6333140
798861142,node,ファミリーマート,35.7733038,139.6305680
799302473,node,セブン-イレブン,35.6828559,139.6152896
799311928,node,ファミリーマート,35.6879901,139.6083635
799312319,node,セブン-イレブン,35.6866120,139.6081717
800052051,node,セブン-イレブン 吉川中井３丁目店,35.8929857,139.8672687
800310934,node,ミニストップ,35.7063120,139.6725880
800915370,node,ファミリーマート,35.7032261,139.6649593
800916072,node,セブン-イレブン,35.7041466,139.6634221
802173489,node,セブン-イレブン,35.6829850,139.6474314
810032721,node,ミニストップ,35.6567684,139.5770044
810748852,node,セブン-イレブン,35.6922267,139.6560050
810748900,node,ローソン,35.6923683,139.6558414
810749585,node,ファミリーマート,35.6982011,139.6549901
810874767,node,セブン-イレブン,35.6480967,139.6228958
814339797,node,ローソン,35.6764456,139.7783033
816405208,node,相光酒店,35.7813833,139.8971351
816418054,node,セブン-イレブン 松戸郵便局前店,35.7799625,139.8970346
816440100,node,ファミリーマート,35.7841485,139.8998843
819807219,node,サンクス 西永福駅前店,35.6786770,139.6361194
820399662,node,ファミリーマート,35.6467617,139.7465561
820721307,node,ファミリーマート,35.6467610,139.7463410
821386682,node,セブン-イレブン,35.7856343,139.9035648
821386703,node,ローソンストア100,35.7828567,139.9015001
822480059,node,セブン-イレブン 松戸小山店,35.7738660,139.8925045
